TaskID,SourceRegion,TargetRegion,StartHour,EndHour,NetworkLatency_ms,GPU_Demand,TaskType
1,RegionD,RegionD,456.0,460.6666666666667,5.0,118.0,AITraining
2,RegionB,RegionB,1126.0,1129.3,5.0,3.0,RealTimeInference
3,RegionB,RegionB,914.0,917.7333333333332,5.0,5.0,RealTimeInference
4,RegionC,RegionC,419.0,420.6166666666667,5.0,3.0,RealTimeInference
5,RegionF,RegionF,2233.0,2235.6833333333334,5.0,115.0,AITraining
6,RegionA,RegionA,1728.0,1733.3,5.0,3.0,RealTimeInference
7,RegionA,RegionA,122.0,127.05,5.0,2.0,RealTimeInference
8,RegionA,RegionA,895.0,899.7666666666667,5.0,2.0,RealTimeInference
9,RegionB,RegionB,2069.0,2074.383333333333,5.0,1.0,RealTimeInference
10,RegionE,RegionE,108.0,112.08333333333331,5.0,37.0,AITraining
11,RegionF,RegionF,814.0,815.1333333333333,5.0,104.0,AITraining
12,RegionF,RegionF,2232.0,2235.2833333333333,5.0,57.0,AITraining
13,RegionA,RegionA,902.0,905.3166666666668,5.0,19.0,BatchInference
14,RegionB,RegionB,1139.0,1140.0,5.0,18.0,BatchInference
15,RegionB,RegionB,653.0,657.2166666666667,5.0,4.0,RealTimeInference
16,RegionE,RegionE,1731.0,1733.3333333333333,5.0,79.0,AITraining
17,RegionD,RegionD,1138.0,1140.4,5.0,8.0,BatchInference
18,RegionC,RegionC,881.0,883.9333333333333,5.0,5.0,RealTimeInference
19,RegionA,RegionA,418.0,419.6333333333333,5.0,21.0,BatchInference
20,RegionA,RegionA,1556.0,1560.1833333333334,5.0,4.0,RealTimeInference
21,RegionA,RegionA,1470.0,1475.9166666666667,5.0,2.0,RealTimeInference
22,RegionC,RegionC,1083.0,1084.6833333333334,5.0,5.0,BatchInference
23,RegionB,RegionB,1881.0,1885.55,5.0,7.0,RealTimeInference
24,RegionF,RegionF,511.0,514.5833333333334,5.0,62.0,AITraining
25,RegionF,RegionF,322.0,322.9833333333333,5.0,20.0,BatchInference
26,RegionB,RegionB,1200.0,1206.65,5.0,119.0,AITraining
27,RegionD,RegionD,1481.0,1485.4833333333331,5.0,69.0,AITraining
28,RegionD,RegionD,787.0,790.3333333333334,5.0,69.0,AITraining
29,RegionE,RegionE,284.0,286.85,5.0,33.0,AITraining
30,RegionC,RegionC,933.0,937.65,5.0,2.0,RealTimeInference
31,RegionE,RegionE,326.0,329.7333333333333,5.0,19.0,BatchInference
32,RegionA,RegionA,413.0,418.0833333333333,5.0,4.0,RealTimeInference
33,RegionA,RegionA,1138.0,1143.7833333333333,5.0,19.0,BatchInference
34,RegionB,RegionB,1494.0,1498.8166666666666,5.0,18.0,BatchInference
35,RegionB,RegionB,1516.0,1520.35,5.0,2.0,RealTimeInference
36,RegionD,RegionD,858.0,860.7666666666667,5.0,16.0,BatchInference
37,RegionF,RegionF,1093.0,1094.2333333333331,5.0,30.0,AITraining
38,RegionF,RegionF,292.0,297.8833333333333,5.0,104.0,AITraining
39,RegionB,RegionB,700.0,702.4166666666666,5.0,16.0,AITraining
40,RegionD,RegionD,1002.0,1003.5,5.0,103.0,AITraining
41,RegionB,RegionB,1893.0,1897.9666666666667,5.0,3.0,RealTimeInference
42,RegionC,RegionC,1105.0,1105.8333333333333,5.0,8.0,BatchInference
43,RegionE,RegionE,2281.0,2284.5,5.0,43.0,AITraining
44,RegionC,RegionC,1328.0,1328.7,5.0,4.0,RealTimeInference
45,RegionF,RegionF,938.0,939.1833333333332,5.0,7.0,RealTimeInference
46,RegionA,RegionA,1292.0,1298.15,5.0,5.0,RealTimeInference
47,RegionB,RegionB,1096.0,1099.9333333333334,5.0,6.0,BatchInference
48,RegionB,RegionB,864.0,866.3333333333334,5.0,5.0,RealTimeInference
49,RegionE,RegionE,1288.0,1291.7833333333333,5.0,16.0,AITraining
50,RegionC,RegionC,2044.0,2050.133333333333,5.0,7.0,RealTimeInference
51,RegionF,RegionF,1879.0,1879.4,5.0,12.0,BatchInference
52,RegionA,RegionA,1084.0,1090.4833333333331,5.0,2.0,RealTimeInference
53,RegionA,RegionA,1010.0,1011.2,5.0,5.0,RealTimeInference
54,RegionD,RegionD,2299.0,2303.1666666666665,5.0,111.0,AITraining
55,RegionE,RegionE,1076.0,1077.75,5.0,67.0,AITraining
56,RegionE,RegionE,2394.0,2398.0,5.0,19.0,AITraining
57,RegionE,RegionE,2390.0,2393.0,5.0,16.0,BatchInference
58,RegionF,RegionF,1482.0,1484.8166666666666,5.0,7.0,BatchInference
59,RegionA,RegionA,566.0,570.2,5.0,7.0,RealTimeInference
60,RegionD,RegionD,2021.0,2022.25,5.0,101.0,AITraining
61,RegionB,RegionB,192.0,193.1833333333333,5.0,2.0,RealTimeInference
62,RegionB,RegionB,626.0,630.8833333333333,5.0,1.0,RealTimeInference
63,RegionE,RegionE,655.0,655.8833333333333,5.0,43.0,AITraining
64,RegionF,RegionF,1729.0,1734.6666666666667,5.0,99.0,AITraining
65,RegionA,RegionA,260.0,264.0,5.0,107.0,AITraining
66,RegionA,RegionA,1563.0,1569.4333333333334,5.0,4.0,BatchInference
67,RegionD,RegionD,1917.0,1919.1666666666667,5.0,42.0,AITraining
68,RegionD,RegionD,1029.0,1033.4666666666667,5.0,92.0,AITraining
69,RegionE,RegionE,47.0,49.43333333333333,5.0,118.0,AITraining
70,RegionF,RegionF,469.0,472.9,5.0,77.0,AITraining
71,RegionF,RegionF,2199.0,2202.016666666667,5.0,66.0,AITraining
72,RegionA,RegionA,1393.0,1399.3833333333334,5.0,18.0,BatchInference
73,RegionA,RegionA,1202.0,1204.0333333333333,5.0,1.0,RealTimeInference
74,RegionC,RegionC,647.0,648.0166666666667,5.0,20.0,BatchInference
75,RegionD,RegionD,13.0,19.58333333333333,5.0,15.0,BatchInference
76,RegionE,RegionE,1078.0,1080.0333333333333,5.0,18.0,AITraining
77,RegionF,RegionF,731.0,734.2666666666667,5.0,71.0,AITraining
78,RegionA,RegionA,435.0,438.81666666666666,5.0,17.0,AITraining
79,RegionD,RegionD,1222.0,1225.8833333333334,5.0,69.0,AITraining
80,RegionD,RegionD,2079.0,2081.25,5.0,112.0,AITraining
81,RegionD,RegionD,814.0,817.0166666666667,5.0,17.0,AITraining
82,RegionB,RegionB,1531.0,1534.45,5.0,2.0,RealTimeInference
83,RegionC,RegionC,2209.0,2212.5333333333333,5.0,7.0,RealTimeInference
84,RegionF,RegionF,2.0,6.4,5.0,71.0,AITraining
85,RegionB,RegionB,1327.0,1332.5666666666666,5.0,53.0,AITraining
86,RegionB,RegionB,79.0,82.45,5.0,23.0,BatchInference
87,RegionB,RegionB,1486.0,1490.15,5.0,6.0,RealTimeInference
88,RegionC,RegionC,980.0,983.5,5.0,19.0,BatchInference
89,RegionC,RegionC,986.0,991.5833333333334,5.0,4.0,RealTimeInference
90,RegionF,RegionF,322.0,324.6166666666667,5.0,95.0,AITraining
91,RegionF,RegionF,1990.0,1995.9166666666667,5.0,4.0,RealTimeInference
92,RegionA,RegionA,2181.0,2183.616666666667,5.0,3.0,RealTimeInference
93,RegionA,RegionA,525.0,527.2833333333333,5.0,7.0,RealTimeInference
94,RegionD,RegionD,1946.0,1952.15,5.0,54.0,AITraining
95,RegionE,RegionE,676.0,678.6666666666666,5.0,16.0,AITraining
96,RegionE,RegionE,2161.0,2165.5333333333333,5.0,13.0,BatchInference
97,RegionF,RegionF,1733.0,1735.0166666666669,5.0,31.0,AITraining
98,RegionA,RegionA,2208.0,2214.3,5.0,1.0,RealTimeInference
99,RegionD,RegionD,823.0,827.3833333333333,5.0,17.0,AITraining
100,RegionD,RegionD,1276.0,1276.7666666666669,5.0,27.0,AITraining
101,RegionC,RegionC,1529.0,1530.8,5.0,12.0,BatchInference
102,RegionD,RegionD,2119.0,2122.616666666667,5.0,22.0,BatchInference
103,RegionE,RegionE,495.0,497.6833333333333,5.0,6.0,BatchInference
104,RegionF,RegionF,920.0,922.0833333333334,5.0,6.0,RealTimeInference
105,RegionA,RegionA,1384.0,1385.8833333333334,5.0,3.0,RealTimeInference
106,RegionA,RegionA,2268.0,2269.8,5.0,4.0,RealTimeInference
107,RegionB,RegionB,902.0,908.55,5.0,1.0,RealTimeInference
108,RegionB,RegionB,290.0,293.3833333333333,5.0,6.0,RealTimeInference
109,RegionE,RegionE,241.0,244.61666666666667,5.0,69.0,AITraining
110,RegionC,RegionC,276.0,278.8333333333333,5.0,5.0,RealTimeInference
111,RegionA,RegionA,1353.0,1357.7666666666669,5.0,4.0,RealTimeInference
112,RegionA,RegionA,2105.0,2107.4,5.0,4.0,RealTimeInference
113,RegionB,RegionB,1140.0,1142.2833333333333,5.0,3.0,RealTimeInference
114,RegionE,RegionE,1988.0,1994.3333333333333,5.0,48.0,AITraining
115,RegionC,RegionC,2208.0,2212.116666666667,5.0,6.0,RealTimeInference
116,RegionC,RegionC,2338.0,2341.983333333333,5.0,6.0,RealTimeInference
117,RegionF,RegionF,1936.0,1940.55,5.0,124.0,AITraining
118,RegionA,RegionA,1937.0,1940.9166666666667,5.0,3.0,RealTimeInference
119,RegionB,RegionB,779.0,785.2666666666667,5.0,4.0,BatchInference
120,RegionB,RegionB,397.0,402.4333333333333,5.0,1.0,RealTimeInference
121,RegionE,RegionE,1765.0,1765.2166666666667,5.0,63.0,AITraining
122,RegionD,RegionD,1734.0,1734.9666666666667,5.0,6.0,BatchInference
123,RegionE,RegionE,1912.0,1915.8166666666664,5.0,20.0,BatchInference
124,RegionA,RegionA,221.0,221.91666666666663,5.0,45.0,AITraining
125,RegionD,RegionD,403.0,409.48333333333335,5.0,21.0,AITraining
126,RegionA,RegionA,1649.0,1653.8166666666666,5.0,1.0,RealTimeInference
127,RegionD,RegionD,1389.0,1392.1666666666667,5.0,108.0,AITraining
128,RegionB,RegionB,1018.0,1020.0833333333334,5.0,7.0,RealTimeInference
129,RegionC,RegionC,779.0,781.8333333333334,5.0,7.0,RealTimeInference
130,RegionF,RegionF,1837.0,1837.45,5.0,82.0,AITraining
131,RegionA,RegionA,1728.0,1729.1166666666666,5.0,1.0,RealTimeInference
132,RegionA,RegionA,1140.0,1144.8166666666666,5.0,3.0,RealTimeInference
133,RegionB,RegionB,1023.0,1028.85,5.0,21.0,BatchInference
134,RegionB,RegionB,1815.0,1817.2666666666669,5.0,7.0,RealTimeInference
135,RegionE,RegionE,401.0,407.5833333333333,5.0,42.0,AITraining
136,RegionC,RegionC,2214.0,2215.883333333333,5.0,2.0,RealTimeInference
137,RegionA,RegionA,382.0,387.1333333333333,5.0,1.0,RealTimeInference
138,RegionA,RegionA,681.0,681.8,5.0,6.0,RealTimeInference
139,RegionB,RegionB,1989.0,1989.5833333333333,5.0,13.0,BatchInference
140,RegionC,RegionC,875.0,875.3666666666667,5.0,6.0,BatchInference
141,RegionD,RegionD,240.0,240.75,5.0,10.0,BatchInference
142,RegionC,RegionC,1552.0,1557.5,5.0,5.0,RealTimeInference
143,RegionD,RegionD,1599.0,1601.5166666666669,5.0,6.0,RealTimeInference
144,RegionA,RegionA,1863.0,1865.5333333333333,5.0,15.0,BatchInference
145,RegionB,RegionB,1732.0,1736.95,5.0,5.0,BatchInference
146,RegionD,RegionD,2276.0,2281.85,5.0,102.0,AITraining
147,RegionE,RegionE,1993.0,1996.25,5.0,66.0,AITraining
148,RegionC,RegionC,777.0,779.2333333333333,5.0,7.0,RealTimeInference
149,RegionE,RegionE,891.0,893.9833333333333,5.0,20.0,BatchInference
150,RegionF,RegionF,2372.0,2373.05,5.0,6.0,RealTimeInference
151,RegionC,RegionC,2220.0,2221.833333333333,5.0,122.0,AITraining
152,RegionA,RegionA,1284.0,1285.0333333333333,5.0,1.0,RealTimeInference
153,RegionB,RegionB,205.0,206.86666666666667,5.0,4.0,RealTimeInference
154,RegionE,RegionE,1952.0,1958.2333333333331,5.0,83.0,AITraining
155,RegionF,RegionF,2175.0,2181.0666666666666,5.0,111.0,AITraining
156,RegionD,RegionD,232.0,237.28333333333333,5.0,7.0,RealTimeInference
157,RegionB,RegionB,328.0,334.31666666666666,5.0,31.0,AITraining
158,RegionA,RegionA,280.0,282.6,5.0,4.0,RealTimeInference
159,RegionD,RegionD,278.0,283.46666666666664,5.0,32.0,AITraining
160,RegionE,RegionE,963.0,964.1166666666668,5.0,34.0,AITraining
