Hour,Region,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridSell_MW,GridLoad_MW,GridCharge_MW,RenewableDirect_MW,RenewableCharge_MW,RenewableSell_MW,Curtailment_MW,ChargePower_MW,DischargePower_MW,SOC_MWh
0,RegionA,1.7583333333,367.981667,369.74000033330003,499.14900044995505,0.0,0.0,0.0,0.0,413.58900044995505,0.0,0.0,126.600999550045,0.0,85.56,64.5
1,RegionA,3.58,393.03,396.60999999999996,535.4235,0.0,0.0,0.0,0.0,535.4235,0.0,0.0,52.446500000000015,0.0,0.0,64.5
2,RegionA,7.536,395.664,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,105.67999999999995,0.0,0.0,64.5
3,RegionA,10.915,392.285,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,0.0,64.5
4,RegionA,12.6466666667,390.553333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,255.68000044995495,0.0,0.0,64.5
5,RegionA,13.01,390.19,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,333.3299999999999,0.0,0.0,64.5
6,RegionA,10.7173333333,392.482667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,405.67999955004495,0.0,0.0,64.5
7,RegionA,11.8893333333,391.310667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,467.80999955004495,0.0,0.0,64.5
8,RegionA,23.38,379.82,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,515.4899999999999,0.0,0.0,64.5
9,RegionA,21.2886666667,381.911333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,545.4600004499549,0.0,0.0,64.5
10,RegionA,19.4433333333,374.416667,393.86000033330004,531.7110004499551,0.0,0.0,0.0,0.0,531.7110004499551,0.0,0.0,568.2889995500449,0.0,0.0,64.5
11,RegionA,19.032,355.858,374.89,506.1015,0.0,0.0,0.0,0.0,506.1015,0.0,0.0,583.6785,0.0,0.0,64.5
12,RegionA,13.9926666667,331.547333,345.5399996667,466.47899955004505,0.0,0.0,0.0,0.0,466.47899955004505,0.0,0.0,593.3310004499549,0.0,0.0,64.5
13,RegionA,12.84,315.802,328.642,443.66670000000005,0.0,0.0,0.0,0.0,443.66670000000005,0.0,0.0,568.4632999999999,0.0,0.0,64.5
14,RegionA,7.1586666667,306.239333,313.3979996667,423.08729955004503,0.0,0.0,0.0,0.0,423.08729955004503,0.0,0.0,526.912700449955,0.0,0.0,64.5
15,RegionA,6.628,274.162,280.78999999999996,379.06649999999996,0.0,0.0,0.0,0.0,379.06649999999996,0.0,0.0,498.5835,0.0,0.0,64.5
16,RegionA,18.2506666667,229.189333,247.4399996667,334.04399955004504,0.0,0.0,0.0,0.0,334.04399955004504,0.0,0.0,465.95600044995496,0.0,0.0,64.5
17,RegionA,17.3196666667,217.430333,234.74999966669998,316.91249955004497,0.0,0.0,0.0,0.0,316.91249955004497,0.0,0.0,405.43750044995505,0.0,0.0,64.5
18,RegionA,17.6596666667,204.150333,221.80999966669998,299.443499550045,0.0,0.0,0.0,0.0,299.443499550045,0.0,0.0,350.556500449955,0.0,0.0,64.5
19,RegionA,58.8706666667,227.419333,286.2899996667,386.49149955004503,0.0,0.0,0.0,0.0,386.49149955004503,0.0,0.0,201.37850044995497,0.0,0.0,64.5
20,RegionA,58.0036666667,187.096333,245.0999996667,330.884999550045,0.0,0.0,0.0,0.0,330.884999550045,0.0,0.0,209.30500044995506,0.0,0.0,64.5
21,RegionA,66.149,212.461,278.61,376.12350000000004,0.0,0.0,0.0,0.0,376.12350000000004,0.0,0.0,134.0965,0.0,0.0,64.5
22,RegionA,66.5626666667,220.847333,287.4099996667,388.00349955004503,0.0,0.0,0.0,0.0,388.00349955004503,0.0,0.0,111.99650044995497,0.0,0.0,64.5
23,RegionA,81.1746666667,221.735333,302.9099996667,408.92849955004505,0.0,0.0,0.0,0.0,408.92849955004505,0.0,0.0,101.29150044995498,0.0,0.0,64.5
24,RegionA,56.8933333333,297.296667,354.1900003333,478.15650044995505,0.0,0.0,0.0,0.0,478.15650044995505,-0.0,0.0,62.03349955004501,0.0,0.0,64.5
25,RegionA,21.8206666667,345.349333,367.1699996667,495.679499550045,0.0,0.0,0.0,0.0,495.679499550045,0.0,0.0,92.19050044995498,0.0,0.0,64.5
26,RegionA,10.8413333333,392.358667,403.2000003333,544.320000449955,0.0,0.0,0.0,0.0,544.320000449955,0.0,0.0,105.67999955004495,0.0,0.0,64.5
27,RegionA,5.35,397.85,403.20000000000005,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,178.02999999999997,0.0,0.0,64.5
28,RegionA,6.56,396.64,403.2,544.32,0.0,0.0,0.0,0.0,544.32,0.0,0.0,255.67999999999995,0.0,0.0,64.5
29,RegionA,23.8226666667,379.377333,403.1999996667,544.319999550045,0.0,0.0,0.0,0.0,544.319999550045,0.0,0.0,333.3300004499549,0.0,0.0,64.5
