TaskID,SourceRegion,TargetRegion,ArrivalHour,StartHour,EndHour,NetworkLatency_ms,GPU_Demand,TaskType
56,RegionE,RegionE,2394,2394.0,2398.0,5.0,19.0,AITraining
57,RegionE,RegionE,2390,2390.0,2393.0,5.0,16.0,BatchInference
165,RegionB,RegionB,2390,2390.0,2391.75,5.0,18.0,BatchInference
205,RegionB,RegionB,2385,2385.0,2389.9166666666665,5.0,6.0,BatchInference
235,RegionE,RegionE,2378,2378.0,2378.4666666666667,5.0,2.0,RealTimeInference
315,RegionA,RegionA,2392,2392.0,2393.45,5.0,17.0,BatchInference
403,RegionD,RegionD,2382,2382.0,2384.116666666667,5.0,13.0,BatchInference
583,RegionA,RegionA,2388,2388.0,2391.9166666666665,5.0,12.0,BatchInference
701,RegionF,RegionF,2397,2397.0,2398.75,5.0,21.0,BatchInference
1055,RegionF,RegionF,2378,2378.0,2383.65,5.0,113.0,AITraining
1096,RegionA,RegionA,2389,2389.0,2393.833333333333,5.0,1.0,RealTimeInference
1136,RegionB,RegionB,2390,2390.0,2393.0333333333333,5.0,12.0,BatchInference
1234,RegionB,RegionB,2385,2385.0,2390.5666666666666,5.0,9.0,BatchInference
1264,RegionF,RegionF,2388,2388.0,2392.7,5.0,113.0,AITraining
1371,RegionC,RegionC,2392,2392.0,2397.583333333333,5.0,18.0,AITraining
1455,RegionF,RegionF,2399,2399.0,2401.733333333333,5.0,37.0,AITraining
1540,RegionF,RegionF,2377,2377.0,2381.866666666667,5.0,98.0,AITraining
1664,RegionE,RegionE,2383,2383.0,2385.1833333333334,5.0,14.0,BatchInference
1843,RegionA,RegionA,2394,2394.0,2394.8166666666666,5.0,1.0,RealTimeInference
2055,RegionD,RegionD,2386,2386.0,2388.6666666666665,5.0,116.0,AITraining
2167,RegionD,RegionD,2390,2390.0,2394.15,5.0,57.0,AITraining
2374,RegionA,RegionA,2387,2387.0,2387.65,5.0,7.0,BatchInference
2412,RegionC,RegionC,2392,2392.0,2396.266666666667,5.0,2.0,RealTimeInference
2473,RegionC,RegionC,2398,2398.0,2403.833333333333,5.0,16.0,AITraining
2508,RegionB,RegionB,2378,2378.0,2382.65,5.0,1.0,RealTimeInference
2517,RegionF,RegionF,2392,2392.0,2394.733333333333,5.0,30.0,AITraining
2648,RegionE,RegionE,2397,2397.0,2400.1833333333334,5.0,19.0,BatchInference
2763,RegionB,RegionB,2379,2379.0,2382.75,5.0,15.0,BatchInference
3113,RegionD,RegionD,2387,2387.0,2393.233333333333,5.0,15.0,BatchInference
3444,RegionA,RegionA,2378,2378.0,2379.7166666666667,5.0,7.0,RealTimeInference
3455,RegionC,RegionC,2386,2386.0,2388.866666666667,5.0,1.0,RealTimeInference
3498,RegionB,RegionB,2376,2376.0,2377.1833333333334,5.0,2.0,RealTimeInference
3566,RegionE,RegionE,2392,2392.0,2392.9,5.0,9.0,BatchInference
3736,RegionD,RegionD,2396,2396.0,2402.6,5.0,19.0,BatchInference
3782,RegionE,RegionE,2390,2390.0,2395.766666666667,5.0,89.0,AITraining
3809,RegionF,RegionF,2376,2376.0,2377.633333333333,5.0,32.0,AITraining
3928,RegionF,RegionF,2397,2397.0,2400.0333333333333,5.0,4.0,BatchInference
3948,RegionF,RegionF,2382,2382.0,2387.5,5.0,1.0,RealTimeInference
4060,RegionA,RegionA,2383,2383.0,2385.8,5.0,8.0,BatchInference
4113,RegionA,RegionA,2391,2391.0,2395.2,5.0,15.0,BatchInference
4202,RegionE,RegionE,2377,2377.0,2381.6666666666665,5.0,94.0,AITraining
4316,RegionA,RegionA,2377,2377.0,2381.366666666667,5.0,5.0,RealTimeInference
4353,RegionE,RegionE,2398,2398.0,2401.7,5.0,21.0,AITraining
4354,RegionC,RegionC,2390,2390.0,2395.95,5.0,4.0,RealTimeInference
4418,RegionD,RegionD,2398,2398.0,2402.233333333333,5.0,11.0,BatchInference
4590,RegionC,RegionC,2382,2382.0,2385.45,5.0,5.0,RealTimeInference
4599,RegionD,RegionD,2385,2385.0,2387.1666666666665,5.0,34.0,AITraining
4611,RegionA,RegionA,2393,2393.0,2395.05,5.0,15.0,BatchInference
4848,RegionB,RegionB,2394,2394.0,2397.6,5.0,17.0,BatchInference
4851,RegionD,RegionD,2390,2390.0,2393.833333333333,5.0,8.0,BatchInference
4886,RegionF,RegionF,2398,2398.0,2401.333333333333,5.0,3.0,RealTimeInference
4930,RegionE,RegionE,2391,2391.0,2396.866666666667,5.0,50.0,AITraining
4943,RegionC,RegionC,2391,2391.0,2394.0,5.0,4.0,RealTimeInference
5138,RegionB,RegionB,2396,2396.0,2401.266666666667,5.0,1.0,RealTimeInference
5272,RegionC,RegionC,2398,2398.0,2402.35,5.0,4.0,RealTimeInference
5277,RegionE,RegionE,2385,2385.0,2386.4666666666667,5.0,64.0,AITraining
5435,RegionE,RegionE,2395,2395.0,2397.95,5.0,116.0,AITraining
5663,RegionB,RegionB,2393,2393.0,2397.25,5.0,6.0,RealTimeInference
5727,RegionD,RegionD,2389,2389.0,2391.3166666666666,5.0,82.0,AITraining
5845,RegionD,RegionD,2382,2382.0,2383.516666666667,5.0,26.0,AITraining
6052,RegionF,RegionF,2380,2380.0,2384.95,5.0,92.0,AITraining
6232,RegionA,RegionA,2389,2389.0,2395.0,5.0,5.0,RealTimeInference
6235,RegionB,RegionB,2392,2392.0,2393.733333333333,5.0,1.0,RealTimeInference
6323,RegionA,RegionA,2388,2388.0,2390.366666666667,5.0,5.0,BatchInference
6392,RegionD,RegionD,2397,2397.0,2401.7833333333333,5.0,5.0,BatchInference
6423,RegionA,RegionA,2377,2377.0,2381.383333333333,5.0,7.0,RealTimeInference
6438,RegionE,RegionE,2394,2394.0,2398.95,5.0,98.0,AITraining
6481,RegionA,RegionA,2377,2377.0,2383.45,5.0,6.0,RealTimeInference
6507,RegionC,RegionC,2378,2378.0,2383.35,5.0,17.0,AITraining
6508,RegionB,RegionB,2394,2394.0,2398.983333333333,5.0,23.0,BatchInference
6767,RegionF,RegionF,2395,2395.0,2395.7,5.0,29.0,AITraining
6876,RegionD,RegionD,2391,2391.0,2397.5,5.0,52.0,AITraining
7165,RegionB,RegionB,2397,2397.0,2401.633333333333,5.0,5.0,RealTimeInference
7372,RegionF,RegionF,2395,2395.0,2399.1,5.0,104.0,AITraining
7403,RegionD,RegionD,2376,2376.0,2382.233333333333,5.0,10.0,BatchInference
7484,RegionA,RegionA,2393,2393.0,2396.95,5.0,3.0,RealTimeInference
7530,RegionA,RegionA,2398,2398.0,2399.1666666666665,5.0,5.0,RealTimeInference
7542,RegionD,RegionD,2382,2382.0,2382.6833333333334,5.0,7.0,RealTimeInference
7857,RegionF,RegionF,2399,2399.0,2400.2833333333333,5.0,115.0,AITraining
7874,RegionC,RegionC,2396,2396.0,2396.45,5.0,21.0,BatchInference
7890,RegionE,RegionE,2399,2399.0,2403.4166666666665,5.0,4.0,RealTimeInference
